age,mean_earnings_MH0_age,mean_earnings_MH1_age,_merge
25,1274.22,1341.4923,matched (3)
26,1321.9041,1419.0273,matched (3)
27,1357.3572,1429.4728,matched (3)
28,1410.8702,1457.7828,matched (3)
29,1440.5731,1540.6112,matched (3)
30,1448.6677,1590.9077,matched (3)
31,1503.0223,1680.1375,matched (3)
32,1557.1182,1699.6689,matched (3)
33,1585.1979,1698.5715,matched (3)
34,1635.5394,1682.3689,matched (3)
35,1597.7063,1710.3168,matched (3)
36,1657.3545,1751.0665,matched (3)
37,1693.9233,1805.8107,matched (3)
38,1710.4906,1810.5132,matched (3)
39,1724.6785,1783.3297,matched (3)
40,1721.7473,1855.2664,matched (3)
41,1714.4976,1803.8312,matched (3)
42,1714.9745,1803.6895,matched (3)
43,1719.1262,1833.7914,matched (3)
44,1734.8239,1815.5653,matched (3)
45,1756.1414,1873.0269,matched (3)
46,1755.1936,1847.3066,matched (3)
47,1750.7842,1835.0237,matched (3)
48,1748.3361,1829.9999,matched (3)
49,1764.3755,1819.0541,matched (3)
50,1759.099,1817.1663,matched (3)
51,1686.1378,1862.2521,matched (3)
52,1713.5,1847.1018,matched (3)
53,1650.0851,1807.4655,matched (3)
54,1672.303,1793.1539,matched (3)
55,1640.3112,1791.5044,matched (3)
56,1610.903,1758.8978,matched (3)
57,1598.3717,1733.6039,matched (3)
58,1536.6284,1724.1198,matched (3)
59,1461.3214,1662.3525,matched (3)
60,1490.7852,1556.6884,matched (3)
61,1472.1301,1538.1238,matched (3)
62,1452.6604,1521.9845,matched (3)
63,1424.6979,1522.9932,matched (3)
64,1421.4701,1495.381,matched (3)
65,1508.1692,1358.1919,matched (3)
66,1367.1731,1413.8916,matched (3)
67,1404.8262,1292.9366,matched (3)
68,1561.2313,1140.1992,matched (3)
69,998.90771,1047.692,matched (3)
70,1195.5067,973.68097,matched (3)
71,1685.856,998.90881,matched (3)
72,670.72144,998.78937,matched (3)
73,844.61127,1009.5239,matched (3)
74,694.19287,1000.8233,matched (3)
75,516.66748,1008.1445,matched (3)
76,623.78601,939.44678,matched (3)
