age,mean_log_wage_MH0_age,mean_log_wage_MH1_age,_merge
25,2.1879594,2.2073448,matched (3)
26,2.2250166,2.2449501,matched (3)
27,2.239917,2.2543278,matched (3)
28,2.2718306,2.2849948,matched (3)
29,2.307579,2.3215795,matched (3)
30,2.3113997,2.3628991,matched (3)
31,2.3396826,2.4046967,matched (3)
32,2.3744321,2.4273179,matched (3)
33,2.3915594,2.4437065,matched (3)
34,2.4079139,2.4342916,matched (3)
35,2.4167721,2.4686406,matched (3)
36,2.4520545,2.4715188,matched (3)
37,2.4623222,2.4930704,matched (3)
38,2.4612422,2.4967582,matched (3)
39,2.4673791,2.4918518,matched (3)
40,2.471421,2.5045903,matched (3)
41,2.4562149,2.4834795,matched (3)
42,2.4724703,2.4876432,matched (3)
43,2.4651427,2.5054703,matched (3)
44,2.4641135,2.4845786,matched (3)
45,2.4614985,2.5076396,matched (3)
46,2.4580917,2.5009894,matched (3)
47,2.45278,2.4860675,matched (3)
48,2.4562507,2.4786894,matched (3)
49,2.4477267,2.4761002,matched (3)
50,2.4598429,2.4716756,matched (3)
51,2.4296184,2.4887242,matched (3)
52,2.4459195,2.4862595,matched (3)
53,2.4184494,2.4797904,matched (3)
54,2.4288256,2.4664681,matched (3)
55,2.4284308,2.4599483,matched (3)
56,2.4063811,2.4626873,matched (3)
57,2.4090664,2.4604576,matched (3)
58,2.3835928,2.4592683,matched (3)
59,2.3571441,2.435735,matched (3)
60,2.3754613,2.4013052,matched (3)
61,2.3548238,2.3915396,matched (3)
62,2.3511946,2.3828497,matched (3)
63,2.3318601,2.3883171,matched (3)
64,2.3771043,2.3859901,matched (3)
65,2.3967216,2.3452532,matched (3)
66,2.3601091,2.392437,matched (3)
67,2.3088331,2.3308351,matched (3)
68,2.5487111,2.278662,matched (3)
69,2.2042785,2.2470202,matched (3)
70,2.268667,2.286227,matched (3)
71,2.2764206,2.2208297,matched (3)
72,2.2053716,2.2343295,matched (3)
73,2.2415648,2.1467032,matched (3)
74,2.0747187,2.1590202,matched (3)
75,2.1442606,2.2270627,matched (3)
76,2.1874306,2.2700503,matched (3)
